feature,mean_ctrl,sd_ctrl,n_ctrl,mean_pat,sd_pat,n_pat,d,d_lo,d_hi
repetition,415.243152279819,308.3292473314144,45,691.6369048234767,303.8637887858542,45,0.9029387259155297,NA,NA
switch,525.1941964825298,325.02457074695906,45,752.9671004139725,288.4964787213358,45,0.7411979312101524,NA,NA
