feature,mean_ctrl,sd_ctrl,n_ctrl,mean_pat,sd_pat,n_pat,d,d_lo,d_hi
index,25.5,14.577379737113251,50,72.5,12.84523257866513,44,3.407059390629281,NA,NA
a,1.2505974488863556,0.2255313584070195,50,1.4743160436535763,0.26722485555954595,44,0.9097949294428552,NA,NA
alpha,3.5022126953035295,3.0828229959355142,50,1.0355489251929635,3.819142968747359,44,-0.7156786703511566,NA,NA
pos_alpha,0.3455320842283284,1.634169509925699,50,-0.4590319535619873,1.768509522253348,44,-0.47375171059075377,NA,NA
v,2.64777956862543,1.2337063220033126,50,2.1749713872049266,1.587946073789249,44,-0.33523152680316626,NA,NA
t,0.19785432202710906,0.05950242038608711,50,0.21225676589164086,0.1076892787927865,44,0.16849805482792674,NA,NA
