feature,mean_ctrl,sd_ctrl,n_ctrl,mean_pat,sd_pat,n_pat,d,d_lo,d_hi
logit_eta,-2.907395694846109,0.18820093759894732,46,-2.732480964038456,0.2681385779767012,42,0.7611422379503139,NA,NA
logit_h,-1.3058076248857606,0.25227764347678766,46,-1.1409250151292807,0.338686453871123,42,0.5558548059678621,NA,NA
logit_lapse,-3.647337438778492,0.027089315948406054,46,-3.6503602441556637,0.030090957576990037,42,-0.10584160928428056,NA,NA
log_d,1.6448142183152021,0.010430266003029091,46,1.6449926669010402,0.010480840169170174,42,0.01706922047398071,NA,NA
