"indice","r_h","h_q2.5","h_q97.5","r_d","d_q2.5","d_q97.5"
"accuratezza",-0.69898142044423,-0.794761891287629,-0.578417458543891,0.551445331555623,0.240967259045842,0.746424826793711
"err. perseverativi",0.471396732910922,0.352959999027396,0.57678257522074,-0.296654767577568,-0.483376211001949,-0.0525342352527803
"err. non persev.",0.595699149707279,0.470786183525267,0.700514153123462,-0.499769120356996,-0.67134624008999,-0.235097785280636
"ripetizione dimensione",-0.616448073020971,-0.72354929836731,-0.491076259539018,0.494136831614284,0.216956321672227,0.676468795558755
"lose-shift",-0.377631413687663,-0.49734478308058,-0.250082955356826,0.287031086889806,0.0960678178407275,0.44397418961144
"recupero post-switch",-0.318282759612608,-0.445072602542581,-0.1884313352493,0.290036922271787,0.113991500687365,0.438086396823723
"err. persev. (pipeline)",0.465465248867243,0.345491842994079,0.572277295457615,-0.290813875292021,-0.479804313336908,-0.0426030707225381
