"indice","osservato","predetto","q05","q95","p_bayes","dentro_90"
"acc",0.817992424242424,0.825556818181818,0.817026515151515,0.834848484848485,0.935,TRUE
"prop_pers_err",0.11780303030303,0.117698863636364,0.111931818181818,0.122926136363636,0.475,TRUE
"prop_non_pers_err",0.0642045454545455,0.0567443181818182,0.0501799242424242,0.0630776515151514,0.03,FALSE
"prop_rep_dim",0.865562403697997,0.841698767334361,0.831047765793528,0.851511941448382,0,FALSE
"win_stay",0.977933075450777,0.955968514264434,0.947444890002457,0.962516139852996,0,FALSE
"lose_shift",0.671090356070918,0.731222089362606,0.70436789683747,0.753287786844773,1,FALSE
"acc_pos1_3",0.546717171717172,0.589097222222222,0.57449494949495,0.604166666666667,1,FALSE
"acc_pos8_10",0.941287878787879,0.924128787878787,0.911616161616161,0.936900252525252,0.015,FALSE
