"variabile","n","rho_h","q05","q95","rho_d"
"TS: v_0",83,-0.310163374753369,-0.424773309264934,-0.185796146257504,0.28194159617535
"TS: v_1",83,-0.241563725284413,-0.356396666806599,-0.129503379371143,0.118590915079208
"PRL: alpha",81,-0.167044190379404,-0.295788166214995,-0.0358785004516712,0.230224288980671
"PRL: v",81,-0.165579262646793,-0.275691056910569,-0.0469681571815719,0.176072262157461
"PRL: a",81,0.142212099141825,-0.00187556458897922,0.276653116531165,-0.249476084571768
"PRL: pos_alpha",81,-0.0496598294941283,-0.173004742547425,0.0780962059620596,0.146698526649564
"TS: a_1",83,-0.0363431163679107,-0.166516938835481,0.0874018722975526,-0.0557323661932556
"TS: t_1",83,0.0150930219134377,-0.110515931321103,0.135280844632887,-0.0650055493948973
"TS: a_0",83,0.0130258123084673,-0.093826875446035,0.119412493178288,0.00285911582239576
"PRL: t",81,0.00788254290876242,-0.105859304426378,0.126114498644986,-0.0213180329688088
"TS: t_0",83,0.00165081230846732,-0.121259602871416,0.124506737752403,-0.0472146820104936
