"parametro","n","r_h","h_q2.5","h_q97.5","r_d","d_q2.5","d_q97.5"
"PRL: alpha",81,-0.139668535456188,-0.282546860885276,0.00831131436314363,0.243006404953908,0.050379403794038,0.373351964769648
"PRL: pos_alpha",81,-0.0205593100722674,-0.157691395663957,0.120801716350497,0.151491741556067,-0.0237821815718157,0.286389453477868
"PRL: t",81,0.0306294658988257,-0.0996160794941283,0.163511178861789,-0.0408321624865177,-0.169536472448058,0.111508017163505
"PRL: v",81,-0.159889560749774,-0.287619128274616,-0.0247961833785004,0.186332561706353,0.0299791102077688,0.306549796747968
"TS: a_1",83,-0.0520143151001217,-0.192687649552915,0.0807060996599639,-0.0711854993099655,-0.236136707107174,0.133565446454809
"TS: v_1",83,-0.249484871541917,-0.375934574535074,-0.123059485328072,0.122738802935186,-0.0503179967255782,0.280114184962848
"TS: t_1",83,0.0195236765878846,-0.115887242349188,0.157306578229293,-0.0856111762880213,-0.213619285504387,0.0774143612778641
