"par","sd_between","sd_within","reliability","var_da_gruppo"
"logit_h",0.546922483621298,0.386767417980823,0.66662664991954,0.230681478971152
"log_d",0.101430782176612,0.10033464833186,0.505432553491616,0.71289530640858
"kappa",0.174328812089892,0.188292146608839,0.461550317245559,0.628278805544037
