"insieme","rip","fold","auc","k","lambda"
"PRL",1,1,0.777777777777778,5,1.0985277619675
"PRL",1,2,1,5,0.610533722923716
"PRL",1,3,0.603174603174603,5,4.77050643376437
"PRL",1,4,0.476190476190476,5,0.01
"PRL",1,5,0.73015873015873,5,0.455154632691744
"PRL",2,1,0.761904761904762,5,0.455154632691744
"PRL",2,2,0.682539682539683,5,6.39904516848067
"PRL",2,3,0.777777777777778,3,8.58352873783764
"PRL",2,4,0.555555555555556,5,0.0179929088389563
"PRL",2,5,0.936507936507937,2,0.252963340594654
"PRL",3,1,0.873015873015873,5,0.610533722923716
"PRL",3,2,0.666666666666667,5,0.0781366573973904
"PRL",3,3,0.873015873015873,2,1.47353931186569
"PRL",3,4,0.714285714285714,5,0.0781366573973904
"PRL",3,5,0.968253968253968,5,1.97657098781438
"PRL",4,1,0.761904761904762,5,0.610533722923716
"PRL",4,2,0.666666666666667,5,4.77050643376437
"PRL",4,3,0.761904761904762,5,0.0241352648762664
"PRL",4,4,0.746031746031746,5,0.0241352648762664
"PRL",4,5,0.793650793650794,2,0.0434263620722724
"PRL",5,1,0.619047619047619,5,0.18858489228321
"PRL",5,2,0.873015873015873,5,1.47353931186569
"PRL",5,3,0.825396825396825,2,0.339319077525618
"PRL",5,4,0.682539682539683,3,0.0179929088389563
"PRL",5,5,0.825396825396825,5,4.77050643376437
"PRL",6,1,0.873015873015873,3,0.01
"PRL",6,2,0.619047619047619,5,0.032374476848699
"PRL",6,3,0.80952380952381,2,1.97657098781438
"PRL",6,4,0.650793650793651,3,0.058251101064754
"PRL",6,5,0.746031746031746,2,1.0985277619675
"PRL",7,1,0.698412698412698,5,0.0434263620722724
"PRL",7,2,0.746031746031746,2,0.455154632691744
"PRL",7,3,0.650793650793651,5,0.18858489228321
"PRL",7,4,0.936507936507937,3,0.032374476848699
"PRL",7,5,0.666666666666667,5,0.0781366573973904
"PRL",8,1,0.666666666666667,5,0.0179929088389563
"PRL",8,2,0.888888888888889,5,1.0985277619675
"PRL",8,3,0.904761904761905,2,1.97657098781438
"PRL",8,4,0.793650793650794,2,0.818955581365116
"PRL",8,5,0.80952380952381,5,0.0134137648849815
"PRL",9,1,0.650793650793651,5,0.058251101064754
"PRL",9,2,0.888888888888889,3,1.47353931186569
"PRL",9,3,0.507936507936508,3,0.0241352648762664
"PRL",9,4,0.80952380952381,3,0.339319077525618
"PRL",9,5,0.682539682539683,5,0.01
"PRL",10,1,0.841269841269841,5,1.0985277619675
"PRL",10,2,0.825396825396825,5,4.77050643376437
"PRL",10,3,0.873015873015873,5,0.0134137648849815
"PRL",10,4,0.746031746031746,2,1.0985277619675
"PRL",10,5,0.650793650793651,3,0.0179929088389563
"PRL",11,1,0.761904761904762,5,0.0241352648762664
"PRL",11,2,0.619047619047619,5,0.01
"PRL",11,3,0.73015873015873,5,1.97657098781438
"PRL",11,4,0.587301587301587,5,0.0134137648849815
"PRL",11,5,0.904761904761905,5,0.0134137648849815
"PRL",12,1,0.873015873015873,3,0.252963340594654
"PRL",12,2,0.841269841269841,2,0.818955581365116
"PRL",12,3,0.761904761904762,2,1.0985277619675
"PRL",12,4,0.571428571428571,5,0.0781366573973904
"PRL",12,5,0.714285714285714,5,1.97657098781438
"PRL",13,1,0.746031746031746,5,0.01
"PRL",13,2,0.507936507936508,5,0.818955581365116
"PRL",13,3,0.761904761904762,3,0.0434263620722724
"PRL",13,4,0.73015873015873,5,0.0179929088389563
"PRL",13,5,0.73015873015873,2,0.610533722923716
"PRL",14,1,0.761904761904762,5,0.0179929088389563
"PRL",14,2,0.650793650793651,5,0.104810675122694
"PRL",14,3,0.904761904761905,2,1.97657098781438
"PRL",14,4,0.857142857142857,5,0.818955581365116
"PRL",14,5,0.634920634920635,5,3.55642615974698
"PRL",15,1,0.777777777777778,3,0.058251101064754
"PRL",15,2,0.555555555555556,5,0.01
"PRL",15,3,0.873015873015873,5,4.77050643376437
"PRL",15,4,0.682539682539683,5,0.0241352648762664
"PRL",15,5,0.904761904761905,2,0.0781366573973904
"PRL",16,1,0.793650793650794,5,0.0134137648849815
"PRL",16,2,0.777777777777778,2,2.65132585090177
"PRL",16,3,0.634920634920635,5,0.0179929088389563
"PRL",16,4,0.904761904761905,2,0.18858489228321
"PRL",16,5,0.777777777777778,3,0.058251101064754
"PRL",17,1,0.746031746031746,3,0.0134137648849815
"PRL",17,2,0.968253968253968,2,4.77050643376437
"PRL",17,3,0.650793650793651,3,0.0134137648849815
"PRL",17,4,0.936507936507937,2,1.97657098781438
"PRL",17,5,0.603174603174603,5,0.455154632691744
"PRL",18,1,0.571428571428571,5,0.104810675122694
"PRL",18,2,0.888888888888889,3,1.97657098781438
"PRL",18,3,0.825396825396825,5,0.104810675122694
"PRL",18,4,0.841269841269841,2,1.97657098781438
"PRL",18,5,0.587301587301587,2,0.339319077525618
"PRL",19,1,0.53968253968254,5,0.032374476848699
"PRL",19,2,0.777777777777778,3,0.1405905753532
"PRL",19,3,0.746031746031746,5,0.1405905753532
"PRL",19,4,0.825396825396825,5,0.01
"PRL",19,5,0.857142857142857,2,0.455154632691744
"PRL",20,1,0.920634920634921,5,0.058251101064754
"PRL",20,2,0.571428571428571,5,0.058251101064754
"PRL",20,3,0.73015873015873,3,0.0434263620722724
"PRL",20,4,0.650793650793651,2,0.104810675122694
"PRL",20,5,0.825396825396825,5,1.97657098781438
"task switching",1,1,0.841269841269841,Inf,1.47353931186569
"task switching",1,2,0.603174603174603,2,0.104810675122694
"task switching",1,3,0.698412698412698,3,0.455154632691744
"task switching",1,4,0.619047619047619,2,0.01
"task switching",1,5,0.698412698412698,3,2.65132585090177
"task switching",2,1,0.793650793650794,2,0.01
"task switching",2,2,0.587301587301587,3,0.0781366573973904
"task switching",2,3,0.603174603174603,2,0.455154632691744
"task switching",2,4,0.793650793650794,3,0.818955581365116
"task switching",2,5,0.571428571428571,Inf,0.032374476848699
"task switching",3,1,0.587301587301587,2,0.610533722923716
"task switching",3,2,0.793650793650794,3,1.97657098781438
"task switching",3,3,0.825396825396825,2,0.0241352648762664
"task switching",3,4,0.492063492063492,2,1.47353931186569
"task switching",3,5,0.571428571428571,Inf,0.0179929088389563
"task switching",4,1,0.555555555555556,3,1.0985277619675
"task switching",4,2,0.666666666666667,5,0.339319077525618
"task switching",4,3,0.746031746031746,2,0.455154632691744
"task switching",4,4,0.746031746031746,2,0.818955581365116
"task switching",4,5,0.777777777777778,2,0.104810675122694
"task switching",5,1,0.555555555555556,3,1.47353931186569
"task switching",5,2,0.714285714285714,2,0.252963340594654
"task switching",5,3,0.793650793650794,3,1.97657098781438
"task switching",5,4,0.825396825396825,2,0.455154632691744
"task switching",5,5,0.587301587301587,Inf,0.0179929088389563
"task switching",6,1,0.73015873015873,2,0.339319077525618
"task switching",6,2,0.53968253968254,2,1.47353931186569
"task switching",6,3,0.698412698412698,3,1.0985277619675
"task switching",6,4,0.619047619047619,2,1.47353931186569
"task switching",6,5,0.650793650793651,2,0.01
"task switching",7,1,0.777777777777778,2,1.97657098781438
"task switching",7,2,0.650793650793651,2,0.1405905753532
"task switching",7,3,0.619047619047619,2,0.0134137648849815
"task switching",7,4,0.920634920634921,3,1.0985277619675
"task switching",7,5,0.492063492063492,2,0.610533722923716
"task switching",8,1,0.365079365079365,2,0.0241352648762664
"task switching",8,2,0.920634920634921,3,0.032374476848699
"task switching",8,3,0.73015873015873,2,0.339319077525618
"task switching",8,4,0.666666666666667,3,0.339319077525618
"task switching",8,5,0.841269841269841,3,1.47353931186569
"task switching",9,1,0.507936507936508,3,0.032374476848699
"task switching",9,2,0.857142857142857,2,0.0179929088389563
"task switching",9,3,0.492063492063492,5,0.104810675122694
"task switching",9,4,0.714285714285714,3,0.0134137648849815
"task switching",9,5,0.777777777777778,2,0.01
"task switching",10,1,0.873015873015873,2,1.0985277619675
"task switching",10,2,0.714285714285714,3,1.97657098781438
"task switching",10,3,0.698412698412698,2,0.455154632691744
"task switching",10,4,0.80952380952381,3,1.97657098781438
