"insieme","rip","fold","auc","k","lambda"
"task switching",10,5,0.492063492063492,2,2.65132585090177
"task switching",11,1,0.73015873015873,3,3.55642615974698
"task switching",11,2,0.412698412698413,2,6.39904516848067
"task switching",11,3,0.80952380952381,3,1.0985277619675
"task switching",11,4,0.920634920634921,3,1.47353931186569
"task switching",11,5,0.682539682539683,Inf,0.032374476848699
"task switching",12,1,0.777777777777778,3,0.455154632691744
"task switching",12,2,0.682539682539683,2,0.339319077525618
"task switching",12,3,0.650793650793651,3,0.610533722923716
"task switching",12,4,0.714285714285714,Inf,0.0434263620722724
"task switching",12,5,0.634920634920635,3,0.252963340594654
"task switching",13,1,0.73015873015873,3,3.55642615974698
"task switching",13,2,0.555555555555556,3,0.455154632691744
"task switching",13,3,0.714285714285714,2,2.65132585090177
"task switching",13,4,0.746031746031746,2,0.610533722923716
"task switching",13,5,0.698412698412698,2,0.818955581365116
"task switching",14,1,0.650793650793651,3,0.0241352648762664
"task switching",14,2,0.587301587301587,3,1.0985277619675
"task switching",14,3,0.698412698412698,3,1.0985277619675
"task switching",14,4,0.80952380952381,5,0.0241352648762664
"task switching",14,5,0.714285714285714,2,0.455154632691744
"task switching",15,1,0.698412698412698,3,0.610533722923716
"task switching",15,2,0.650793650793651,3,2.65132585090177
"task switching",15,3,0.73015873015873,3,1.0985277619675
"task switching",15,4,0.73015873015873,2,0.339319077525618
"task switching",15,5,0.825396825396825,3,0.058251101064754
"task switching",16,1,0.587301587301587,3,0.0241352648762664
"task switching",16,2,0.777777777777778,3,1.47353931186569
"task switching",16,3,0.714285714285714,5,1.0985277619675
"task switching",16,4,0.80952380952381,3,1.0985277619675
"task switching",16,5,0.698412698412698,3,0.610533722923716
"task switching",17,1,0.666666666666667,3,0.01
"task switching",17,2,0.841269841269841,2,0.18858489228321
"task switching",17,3,0.53968253968254,3,0.818955581365116
"task switching",17,4,0.682539682539683,5,0.0434263620722724
"task switching",17,5,0.698412698412698,3,0.455154632691744
"task switching",18,1,0.555555555555556,3,0.339319077525618
"task switching",18,2,0.746031746031746,3,2.65132585090177
"task switching",18,3,0.80952380952381,3,3.55642615974698
"task switching",18,4,0.746031746031746,3,0.455154632691744
"task switching",18,5,0.53968253968254,3,0.252963340594654
"task switching",19,1,0.714285714285714,3,0.032374476848699
"task switching",19,2,0.587301587301587,3,0.610533722923716
"task switching",19,3,0.841269841269841,3,0.0134137648849815
"task switching",19,4,0.73015873015873,Inf,0.0241352648762664
"task switching",19,5,0.650793650793651,2,3.55642615974698
"task switching",20,1,0.714285714285714,3,0.18858489228321
"task switching",20,2,0.857142857142857,2,1.97657098781438
"task switching",20,3,0.698412698412698,3,0.610533722923716
"task switching",20,4,0.650793650793651,3,0.818955581365116
"task switching",20,5,0.444444444444444,5,0.0134137648849815
"WCST",1,1,0.650793650793651,3,1.0985277619675
"WCST",1,2,0.73015873015873,2,0.1405905753532
"WCST",1,3,0.857142857142857,2,6.39904516848067
"WCST",1,4,0.888888888888889,2,1.0985277619675
"WCST",1,5,0.73015873015873,3,15.4442650096474
"WCST",2,1,0.619047619047619,2,0.610533722923716
"WCST",2,2,0.73015873015873,3,8.58352873783764
"WCST",2,3,0.793650793650794,3,1.97657098781438
"WCST",2,4,0.777777777777778,3,2.65132585090177
"WCST",2,5,0.619047619047619,2,0.01
"WCST",3,1,0.841269841269841,2,3.55642615974698
"WCST",3,2,0.476190476190476,2,1.97657098781438
"WCST",3,3,0.904761904761905,2,0.339319077525618
"WCST",3,4,0.619047619047619,3,1.97657098781438
"WCST",3,5,0.888888888888889,2,0.610533722923716
"WCST",4,1,0.761904761904762,2,0.610533722923716
"WCST",4,2,0.793650793650794,3,0.818955581365116
"WCST",4,3,0.761904761904762,3,0.610533722923716
"WCST",4,4,0.714285714285714,2,0.610533722923716
"WCST",4,5,0.857142857142857,2,3.55642615974698
"WCST",5,1,0.857142857142857,2,1.97657098781438
"WCST",5,2,0.555555555555556,2,1.97657098781438
"WCST",5,3,0.666666666666667,3,11.5137436372836
"WCST",5,4,0.777777777777778,3,0.455154632691744
"WCST",5,5,0.888888888888889,2,0.610533722923716
"WCST",6,1,0.841269841269841,2,0.818955581365116
"WCST",6,2,0.761904761904762,2,3.55642615974698
"WCST",6,3,0.634920634920635,2,2.65132585090177
"WCST",6,4,0.746031746031746,3,0.058251101064754
"WCST",6,5,0.746031746031746,2,1.97657098781438
"WCST",7,1,0.698412698412698,2,6.39904516848067
"WCST",7,2,0.746031746031746,3,0.455154632691744
"WCST",7,3,0.682539682539683,2,8.58352873783764
"WCST",7,4,0.873015873015873,3,6.39904516848067
"WCST",7,5,0.73015873015873,3,3.55642615974698
"WCST",8,1,0.857142857142857,3,6.39904516848067
"WCST",8,2,0.761904761904762,2,0.339319077525618
"WCST",8,3,0.777777777777778,3,1.0985277619675
"WCST",8,4,0.777777777777778,2,4.77050643376437
"WCST",8,5,0.666666666666667,3,4.77050643376437
"WCST",9,1,0.682539682539683,2,0.610533722923716
"WCST",9,2,0.682539682539683,3,1.97657098781438
"WCST",9,3,0.777777777777778,3,11.5137436372836
"WCST",9,4,0.650793650793651,3,2.65132585090177
"WCST",9,5,0.873015873015873,2,1.97657098781438
"WCST",10,1,0.761904761904762,3,1.0985277619675
"WCST",10,2,0.746031746031746,3,4.77050643376437
"WCST",10,3,0.777777777777778,3,1.0985277619675
"WCST",10,4,0.873015873015873,3,0.818955581365116
"WCST",10,5,0.746031746031746,3,0.610533722923716
"WCST",11,1,0.857142857142857,3,1.0985277619675
"WCST",11,2,0.761904761904762,2,1.97657098781438
"WCST",11,3,0.682539682539683,3,0.0179929088389563
"WCST",11,4,0.619047619047619,3,2.65132585090177
"WCST",11,5,0.634920634920635,2,4.77050643376437
"WCST",12,1,0.603174603174603,3,1.97657098781438
"WCST",12,2,0.619047619047619,2,11.5137436372836
"WCST",12,3,0.968253968253968,3,0.252963340594654
"WCST",12,4,0.920634920634921,3,6.39904516848067
"WCST",12,5,0.666666666666667,3,3.55642615974698
"WCST",13,1,0.777777777777778,3,2.65132585090177
"WCST",13,2,0.714285714285714,2,0.818955581365116
"WCST",13,3,0.714285714285714,3,0.610533722923716
"WCST",13,4,0.857142857142857,2,0.339319077525618
"WCST",13,5,0.841269841269841,3,0.610533722923716
"WCST",14,1,0.825396825396825,2,1.0985277619675
"WCST",14,2,0.698412698412698,3,0.0134137648849815
"WCST",14,3,0.873015873015873,3,0.610533722923716
"WCST",14,4,0.619047619047619,3,1.0985277619675
"WCST",14,5,0.73015873015873,2,2.65132585090177
"WCST",15,1,0.793650793650794,3,3.55642615974698
"WCST",15,2,0.888888888888889,3,0.339319077525618
"WCST",15,3,0.80952380952381,3,1.97657098781438
"WCST",15,4,0.666666666666667,2,1.0985277619675
"WCST",15,5,0.619047619047619,3,2.65132585090177
"WCST",16,1,0.698412698412698,3,1.47353931186569
"WCST",16,2,0.857142857142857,3,0.455154632691744
"WCST",16,3,0.80952380952381,2,0.610533722923716
"WCST",16,4,0.682539682539683,2,0.818955581365116
"WCST",16,5,0.904761904761905,2,1.97657098781438
"WCST",17,1,0.555555555555556,2,1.47353931186569
"WCST",17,2,0.793650793650794,3,1.0985277619675
"WCST",17,3,0.857142857142857,2,1.97657098781438
"WCST",17,4,0.777777777777778,2,2.65132585090177
"WCST",17,5,0.746031746031746,3,0.18858489228321
"WCST",18,1,0.666666666666667,2,4.77050643376437
"WCST",18,2,0.888888888888889,3,27.7887252403267
"WCST",18,3,0.650793650793651,3,0.818955581365116
"WCST",18,4,0.777777777777778,3,0.339319077525618
"WCST",18,5,0.73015873015873,2,0.032374476848699
"WCST",19,1,0.571428571428571,2,0.252963340594654
"WCST",19,2,0.873015873015873,3,0.18858489228321
"WCST",19,3,0.793650793650794,3,2.65132585090177
"WCST",19,4,0.841269841269841,3,0.339319077525618
"WCST",19,5,0.666666666666667,2,8.58352873783764
"WCST",20,1,0.825396825396825,3,1.0985277619675
"WCST",20,2,0.793650793650794,2,1.0985277619675
"WCST",20,3,0.761904761904762,2,0.455154632691744
"WCST",20,4,0.825396825396825,3,0.610533722923716
"WCST",20,5,0.53968253968254,3,0.610533722923716
"PRL + TS",1,1,0.873015873015873,Inf,0.252963340594654
"PRL + TS",1,2,0.904761904761905,5,0.18858489228321
"PRL + TS",1,3,0.666666666666667,Inf,1.97657098781438
"PRL + TS",1,4,0.650793650793651,3,1.97657098781438
"PRL + TS",1,5,0.746031746031746,5,0.18858489228321
"PRL + TS",2,1,0.793650793650794,2,0.455154632691744
"PRL + TS",2,2,0.603174603174603,Inf,4.77050643376437
"PRL + TS",2,3,0.857142857142857,5,0.455154632691744
"PRL + TS",2,4,0.507936507936508,2,0.252963340594654
"PRL + TS",2,5,0.904761904761905,3,1.0985277619675
"PRL + TS",3,1,0.904761904761905,Inf,3.55642615974698
"PRL + TS",3,2,0.777777777777778,3,2.65132585090177
"PRL + TS",3,3,0.857142857142857,5,0.610533722923716
"PRL + TS",3,4,0.555555555555556,5,0.339319077525618
"PRL + TS",3,5,0.888888888888889,Inf,2.65132585090177
"PRL + TS",4,1,0.571428571428571,2,3.55642615974698
"PRL + TS",4,2,0.714285714285714,3,1.0985277619675
"PRL + TS",4,3,1,3,4.77050643376437
"PRL + TS",4,4,0.777777777777778,Inf,0.1405905753532
"PRL + TS",4,5,0.841269841269841,5,0.01
"PRL + TS",5,1,0.507936507936508,2,1.0985277619675
"PRL + TS",5,2,0.80952380952381,Inf,0.1405905753532
"PRL + TS",5,3,0.936507936507937,Inf,2.65132585090177
"PRL + TS",5,4,0.73015873015873,5,1.0985277619675
"PRL + TS",5,5,0.793650793650794,Inf,0.0781366573973904
"PRL + TS",6,1,0.968253968253968,5,0.818955581365116
"PRL + TS",6,2,0.603174603174603,Inf,0.252963340594654
"PRL + TS",6,3,0.73015873015873,5,3.55642615974698
"PRL + TS",6,4,0.698412698412698,5,1.0985277619675
"PRL + TS",6,5,0.73015873015873,3,0.610533722923716
"PRL + TS",7,1,0.761904761904762,5,1.97657098781438
"PRL + TS",7,2,0.73015873015873,5,3.55642615974698
"PRL + TS",7,3,0.777777777777778,5,1.0985277619675
"PRL + TS",7,4,0.952380952380952,5,0.1405905753532
"PRL + TS",7,5,0.619047619047619,Inf,0.0434263620722724
"PRL + TS",8,1,0.619047619047619,Inf,1.97657098781438
"PRL + TS",8,2,1,3,1.97657098781438
"PRL + TS",8,3,0.873015873015873,5,0.058251101064754
"PRL + TS",8,4,0.841269841269841,Inf,0.339319077525618
"PRL + TS",8,5,0.761904761904762,3,0.818955581365116
"PRL + TS",9,1,0.650793650793651,Inf,1.47353931186569
"PRL + TS",9,2,0.920634920634921,5,1.97657098781438
"PRL + TS",9,3,0.587301587301587,Inf,8.58352873783764
"PRL + TS",9,4,0.873015873015873,Inf,1.47353931186569
"PRL + TS",9,5,0.825396825396825,5,0.104810675122694
"PRL + TS",10,1,0.857142857142857,Inf,0.455154632691744
"PRL + TS",10,2,0.841269841269841,Inf,3.55642615974698
"PRL + TS",10,3,0.825396825396825,3,0.455154632691744
"PRL + TS",10,4,0.841269841269841,Inf,1.97657098781438
"PRL + TS",10,5,0.571428571428571,3,0.058251101064754
"PRL + TS",11,1,0.761904761904762,Inf,0.818955581365116
"PRL + TS",11,2,0.476190476190476,3,3.55642615974698
"PRL + TS",11,3,0.793650793650794,5,1.0985277619675
"PRL + TS",11,4,0.873015873015873,Inf,1.47353931186569
"PRL + TS",11,5,0.825396825396825,2,0.252963340594654
"PRL + TS",12,1,0.952380952380952,3,0.610533722923716
"PRL + TS",12,2,0.936507936507937,3,0.252963340594654
"PRL + TS",12,3,0.777777777777778,Inf,2.65132585090177
"PRL + TS",12,4,0.80952380952381,Inf,1.47353931186569
"PRL + TS",12,5,0.73015873015873,Inf,0.0179929088389563
"PRL + TS",13,1,0.777777777777778,5,0.1405905753532
"PRL + TS",13,2,0.619047619047619,5,8.58352873783764
"PRL + TS",13,3,0.841269841269841,5,0.01
"PRL + TS",13,4,0.873015873015873,3,1.0985277619675
"PRL + TS",13,5,0.777777777777778,3,0.1405905753532
"PRL + TS",14,1,0.825396825396825,5,0.610533722923716
"PRL + TS",14,2,0.666666666666667,3,1.47353931186569
"PRL + TS",14,3,0.746031746031746,Inf,2.65132585090177
"PRL + TS",14,4,0.888888888888889,5,1.97657098781438
"PRL + TS",14,5,0.777777777777778,5,0.01
"PRL + TS",15,1,0.650793650793651,2,0.610533722923716
"PRL + TS",15,2,0.650793650793651,3,0.1405905753532
"PRL + TS",15,3,0.746031746031746,Inf,0.455154632691744
"PRL + TS",15,4,0.761904761904762,5,1.97657098781438
"PRL + TS",15,5,0.920634920634921,2,0.1405905753532
"PRL + TS",16,1,0.761904761904762,5,0.252963340594654
"PRL + TS",16,2,0.80952380952381,5,3.55642615974698
"PRL + TS",16,3,0.698412698412698,Inf,6.39904516848067
"PRL + TS",16,4,0.857142857142857,5,0.0241352648762664
"PRL + TS",16,5,0.777777777777778,3,6.39904516848067
"PRL + TS",17,1,0.714285714285714,5,0.455154632691744
"PRL + TS",17,2,0.936507936507937,5,2.65132585090177
"PRL + TS",17,3,0.666666666666667,Inf,0.818955581365116
"PRL + TS",17,4,0.936507936507937,2,0.818955581365116
"PRL + TS",17,5,0.682539682539683,Inf,0.0134137648849815
"PRL + TS",18,1,0.682539682539683,Inf,0.339319077525618
"PRL + TS",18,2,0.968253968253968,Inf,8.58352873783764
"PRL + TS",18,3,0.920634920634921,Inf,11.5137436372836
"PRL + TS",18,4,0.793650793650794,5,0.818955581365116
"PRL + TS",18,5,0.571428571428571,3,0.818955581365116
"PRL + TS",19,1,0.603174603174603,Inf,3.55642615974698
"PRL + TS",19,2,0.698412698412698,Inf,0.339319077525618
"PRL + TS",19,3,0.888888888888889,3,0.032374476848699
"PRL + TS",19,4,0.873015873015873,Inf,6.39904516848067
"PRL + TS",19,5,0.746031746031746,5,0.0434263620722724
"PRL + TS",20,1,0.841269841269841,3,0.104810675122694
"PRL + TS",20,2,0.634920634920635,2,0.032374476848699
"PRL + TS",20,3,0.777777777777778,5,0.339319077525618
"PRL + TS",20,4,0.634920634920635,2,1.47353931186569
"PRL + TS",20,5,0.793650793650794,Inf,1.0985277619675
"PRL + WCST",1,1,0.761904761904762,Inf,2.65132585090177
"PRL + WCST",1,2,0.873015873015873,Inf,1.0985277619675
"PRL + WCST",1,3,0.857142857142857,Inf,0.818955581365116
"PRL + WCST",1,4,0.714285714285714,5,0.0781366573973904
"PRL + WCST",1,5,0.746031746031746,5,0.1405905753532
"PRL + WCST",2,1,0.761904761904762,5,0.104810675122694
"PRL + WCST",2,2,0.777777777777778,Inf,8.58352873783764
"PRL + WCST",2,3,0.80952380952381,Inf,2.65132585090177
"PRL + WCST",2,4,0.746031746031746,Inf,0.0434263620722724
"PRL + WCST",2,5,0.873015873015873,5,0.0179929088389563
"PRL + WCST",3,1,0.952380952380952,Inf,0.610533722923716
"PRL + WCST",3,2,0.555555555555556,Inf,0.0179929088389563
"PRL + WCST",3,3,0.952380952380952,5,0.0781366573973904
"PRL + WCST",3,4,0.73015873015873,Inf,3.55642615974698
"PRL + WCST",3,5,0.984126984126984,Inf,6.39904516848067
"PRL + WCST",4,1,0.888888888888889,Inf,0.818955581365116
"PRL + WCST",4,2,0.793650793650794,5,0.18858489228321
"PRL + WCST",4,3,0.80952380952381,5,0.455154632691744
"PRL + WCST",4,4,0.777777777777778,Inf,0.058251101064754
"PRL + WCST",4,5,0.952380952380952,Inf,1.47353931186569
"PRL + WCST",5,1,0.841269841269841,5,0.339319077525618
"PRL + WCST",5,2,0.714285714285714,Inf,6.39904516848067
"PRL + WCST",5,3,0.761904761904762,5,0.610533722923716
"PRL + WCST",5,4,0.761904761904762,Inf,3.55642615974698
"PRL + WCST",5,5,0.984126984126984,Inf,1.97657098781438
"PRL + WCST",6,1,0.952380952380952,Inf,1.0985277619675
"PRL + WCST",6,2,0.761904761904762,Inf,0.058251101064754
"PRL + WCST",6,3,0.73015873015873,Inf,2.65132585090177
"PRL + WCST",6,4,0.777777777777778,Inf,1.97657098781438
"PRL + WCST",6,5,0.873015873015873,Inf,3.55642615974698
"PRL + WCST",7,1,0.761904761904762,5,0.058251101064754
"PRL + WCST",7,2,0.777777777777778,5,0.0781366573973904
"PRL + WCST",7,3,0.80952380952381,Inf,6.39904516848067
"PRL + WCST",7,4,0.968253968253968,5,0.0241352648762664
"PRL + WCST",7,5,0.777777777777778,Inf,0.0781366573973904
"PRL + WCST",8,1,0.888888888888889,Inf,2.65132585090177
"PRL + WCST",8,2,0.936507936507937,Inf,1.97657098781438
"PRL + WCST",8,3,0.936507936507937,5,0.058251101064754
"PRL + WCST",8,4,0.873015873015873,Inf,1.97657098781438
"PRL + WCST",8,5,0.666666666666667,Inf,0.339319077525618
"PRL + WCST",9,1,0.714285714285714,Inf,0.0179929088389563
"PRL + WCST",9,2,0.857142857142857,Inf,1.47353931186569
"PRL + WCST",9,3,0.698412698412698,5,0.18858489228321
"PRL + WCST",9,4,0.825396825396825,5,0.252963340594654
"PRL + WCST",9,5,0.857142857142857,5,0.18858489228321
"PRL + WCST",10,1,0.873015873015873,Inf,3.55642615974698
"PRL + WCST",10,2,0.761904761904762,3,0.032374476848699
"PRL + WCST",10,3,0.857142857142857,Inf,3.55642615974698
"PRL + WCST",10,4,0.888888888888889,Inf,4.77050643376437
"PRL + WCST",10,5,0.682539682539683,3,0.0434263620722724
"PRL + WCST",11,1,0.857142857142857,Inf,8.58352873783764
"PRL + WCST",11,2,0.761904761904762,5,0.0434263620722724
"PRL + WCST",11,3,0.857142857142857,Inf,1.47353931186569
"PRL + WCST",11,4,0.714285714285714,Inf,3.55642615974698
"PRL + WCST",11,5,0.904761904761905,Inf,0.818955581365116
"PRL + WCST",12,1,0.80952380952381,5,3.55642615974698
"PRL + WCST",12,2,0.73015873015873,5,0.252963340594654
"PRL + WCST",12,3,0.904761904761905,Inf,3.55642615974698
"PRL + WCST",12,4,0.873015873015873,5,0.0781366573973904
"PRL + WCST",12,5,0.714285714285714,Inf,1.0985277619675
"PRL + WCST",13,1,0.841269841269841,Inf,0.1405905753532
"PRL + WCST",13,2,0.746031746031746,Inf,1.97657098781438
"PRL + WCST",13,3,0.825396825396825,5,0.032374476848699
"PRL + WCST",13,4,0.936507936507937,Inf,1.0985277619675
"PRL + WCST",13,5,0.904761904761905,Inf,4.77050643376437
"PRL + WCST",14,1,0.873015873015873,5,0.104810675122694
"PRL + WCST",14,2,0.698412698412698,5,0.18858489228321
"PRL + WCST",14,3,1,Inf,4.77050643376437
"PRL + WCST",14,4,0.80952380952381,Inf,2.65132585090177
"PRL + WCST",14,5,0.80952380952381,Inf,1.97657098781438
"PRL + WCST",15,1,0.841269841269841,5,0.18858489228321
"PRL + WCST",15,2,0.80952380952381,5,0.18858489228321
"PRL + WCST",15,3,0.968253968253968,Inf,1.0985277619675
"PRL + WCST",15,4,0.793650793650794,Inf,0.032374476848699
"PRL + WCST",15,5,0.761904761904762,Inf,6.39904516848067
"PRL + WCST",16,1,0.777777777777778,Inf,3.55642615974698
"PRL + WCST",16,2,0.857142857142857,5,6.39904516848067
"PRL + WCST",16,3,0.841269841269841,Inf,4.77050643376437
"PRL + WCST",16,4,0.873015873015873,Inf,0.818955581365116
"PRL + WCST",16,5,0.920634920634921,Inf,0.18858489228321
"PRL + WCST",17,1,0.73015873015873,5,0.0434263620722724
"PRL + WCST",17,2,0.904761904761905,Inf,2.65132585090177
"PRL + WCST",17,3,0.936507936507937,Inf,6.39904516848067
"PRL + WCST",17,4,0.936507936507937,Inf,1.47353931186569
"PRL + WCST",17,5,0.777777777777778,Inf,4.77050643376437
"PRL + WCST",18,1,0.73015873015873,Inf,3.55642615974698
