"primitiva","n_ind","var_tratto","lo","hi","P_gt_05"
"soglia",3,0.185714619092428,0.0285631230692,0.36494779395,0.9365
"drift",3,0.173632111613546,0.0134709035566667,0.408529154655,0.84275
"tempo non dec.",3,0.150319008408737,0.0237178486993333,0.312222240883333,0.9085
"apprendimento/flessibilita'",3,0.210726210783183,0.0227264774044167,0.409400800639167,0.9315
