"par","d_mod","lo","hi"
"logit_h",0.77857528314871,0.0515634291436586,1.58607189178148
"log_d",-4.4699787154057,-17.0856005613927,-0.086364957313658
"kappa",-6.06949776953041,-17.4180563953336,1.71250512016504
