"altro","rho","rho_disattenuato"
"prl_a",0.171167369901547,0.224692575315509
"ts_a_0",0.0233942803563057,0.030709831575579
"ts_a_1",-0.0110876699484294,-0.0145548600553596
"prl_v",-0.224331926863572,-0.294482052282857
"ts_v_0",-0.358837318330989,-0.471048198155274
"ts_v_1",-0.271003281762775,-0.355747858562394
"prl_t",-0.0291842475386779,-0.0383103610336632
"ts_t_0",0.00539146741678387,0.00707741609457232
"ts_t_1",0.0219409282700422,0.0288020063674769
"prl_alpha",-0.188185654008439,-0.247032593074898
"prl_pos_alpha",-0.0805672761368964,-0.10576121355237
