"modello","lhs","rhs","est.std","se","pvalue"
"per compito","PRL","prl_a",0.284890924519398,0.114772379129064,0.0130564625887915
"per compito","PRL","prl_v",0.387216490352662,0.11007734163793,0.000435342543977146
"per compito","PRL","prl_t",0.268850977287516,0.115426072804329,0.0198482121197694
"per compito","PRL","prl_alpha",-0.909865090954301,0.111598678806682,4.44089209850063e-16
"per compito","PRL","prl_pos_alpha",-0.617416733382102,0.102833691242653,1.92477189742135e-09
"per compito","TS","ts_a_0",0.645806799198571,0.0908087068605208,1.14597220601809e-12
"per compito","TS","ts_a_1",0.786595781642172,0.084991763982465,0
"per compito","TS","ts_v_0",-0.374971930500564,0.113602842587441,0.000964347860860748
"per compito","TS","ts_v_1",0.0416029272178559,0.127668550678341,0.744525223573341
"per compito","TS","ts_t_0",0.05920631587423,0.127484868034311,0.642348024216404
"per compito","TS","ts_t_1",0.645567750923681,0.0908232480551634,1.17772458452237e-12
"fattore unico","gen","prl_a",0.37970632879815,0.114515574566609,0.000913938031994022
"fattore unico","gen","ts_a_0",0.321715422051664,0.118604382848595,0.00667760255568539
"fattore unico","gen","ts_a_1",0.382437762261843,0.114308104122385,0.000820825541697712
"fattore unico","gen","prl_v",0.141860549293465,0.127155795624541,0.26457472234638
"fattore unico","gen","ts_v_0",-0.684577685011942,0.0864596244006751,2.44249065417534e-15
"fattore unico","gen","ts_v_1",-0.461334512848616,0.10778496503518,1.86777554203044e-05
"fattore unico","gen","prl_t",0.36973283710241,0.115262016648003,0.00133773281153982
"fattore unico","gen","ts_t_0",-0.0203183433240275,0.129204218170497,0.875041846522025
"fattore unico","gen","ts_t_1",0.452793057529,0.108537567602591,3.02251327943814e-05
"fattore unico","gen","prl_alpha",-0.547806574897624,0.0996776788009718,3.88987619892589e-08
"fattore unico","gen","prl_pos_alpha",-0.425544259539074,0.110866486305874,0.000123864381627481
"fattore unico","gen","wcst_logit_h",0.466454674414849,0.107328919319911,1.38623787742098e-05
