"quantita","media","lo","hi","P_positivo"
"varianza di tratto (tra compiti)",0.180097987474473,0.0870946179167833,0.279005036592648,NA
"varianza di metodo (compito)",0.143397875408167,0.0853640058444958,0.205279772668125,NA
"varianza primitiva entro compito",0.199773204988435,0.0934782720730833,0.295280630170833,NA
"tratto - metodo",0.0367001120663066,-0.0815645761247128,0.162184706826396,0.709
