"parametro","sd_AN","sd_HC","rapporto_var","lo","hi","W_BrownForsythe","p","p_BH"
"prl_a",1.04199756828103,0.826997683542525,1.58754054124141,0.846204031412113,3.05893156908743,0.147064839556065,0.702399506663351,0.842879407996021
"ts_a_0",1.15672300745929,0.864223836804664,1.79145649644871,0.954897005785377,3.4518443398923,1.12176084383385,0.292808491827973,0.663268717403968
"ts_a_1",1.0890198785333,0.867778404776518,1.57490346342747,0.839468111343538,3.03458198225052,0.370208621807501,0.544658395517532,0.726211194023376
"prl_v",1.16060547930892,0.848368329069789,1.87154527908408,0.997586593217229,3.60616235519258,0.587379500641227,0.445747576683675,0.668621365025512
"ts_v_0",1.04906068759842,0.818134337285475,1.64418993106914,0.876399759208631,3.16808569927303,1.90006766154192,0.172011693298243,0.663268717403968
"ts_v_1",1.10191522535445,0.922683580757162,1.42623399191477,0.760223076099536,2.74812017043805,0.9543512844915,0.331634358701984,0.663268717403968
"prl_t",1.28220343311502,0.693704033119978,3.41637418731045,1.82102411561329,6.58279557711791,5.19354477839738,0.0254059800558378,0.152435880335027
"ts_t_0",1.15137001455704,0.869247836010603,1.75445645347569,0.935174935883648,3.38055129472745,1.28599706210963,0.260260248589826,0.663268717403968
"ts_t_1",0.982080314253227,0.976238374131775,1.01200407554057,0.539426809130975,1.94996671536682,0.00416433117265355,0.948712023836273,0.948712023836273
"prl_alpha",1.07650659107957,0.835412769414381,1.66047051385371,0.885077770527487,3.19945572564344,0.631444355828674,0.429237227397895,0.668621365025512
"prl_pos_alpha",1.02457624080985,0.947078323495087,1.17035271772471,0.623831116236151,2.25507870962206,0.0321259480304597,0.858216290996211,0.936235953814048
"wcst_logit_h",1.07901330093333,0.723578032862907,2.22373406616731,1.18531318268431,4.28477267795327,5.21486869304527,0.025116106397556,0.152435880335027
