"model","elpd_trial","se_trial","elpd_per_trial","p_loo","k_gt_07","elpd_subj","se_subj","elpd_chance_per_trial"
"hmm_hier",-1667.24116219478,57.8931161436978,-0.3157653716278,61.4695114037622,0,-1677.28283064893,114.880904354924,-1.38629436111989
"hmm_hier4",-1669.05044522294,57.9414048663195,-0.316108038867982,67.5751379707668,0,-1678.26970663099,114.560826938231,-1.38629436111989
"rw_dim_hier",-2346.4242141871,61.6624468424977,-0.444398525414223,179.06410113276,90,-2340.89294837869,123.694481640281,-1.38629436111989
