"escluso","differenza","p_permutazione"
"prl_a",0.709849094561876,0.0054
"ts_a_0",0.691945209959211,0.0032
"ts_a_1",0.703852432599909,0.0035
"prl_v",0.689477249813251,0.0032
"ts_v_0",0.685662401382402,0.005
"ts_v_1",0.687603809436369,0.005
"prl_t",0.582917196396419,0.0145
"ts_t_0",0.675023694358617,0.0098
"ts_t_1",0.737405008433471,0.0043
"prl_alpha",0.691113666077583,0.0022
"prl_pos_alpha",0.723473879009929,0.0052
"wcst_logit_h",0.637192705127272,0.0091
