"par1","par2","rho","classe"
"prl_a","ts_a_0",0.285185185185185,"stessa primitiva, tra compiti"
"prl_a","ts_a_1",0.175199249882794,"stessa primitiva, tra compiti"
"prl_a","prl_v",-0.477449601500234,"primitive diverse, entro compito"
"prl_a","ts_v_0",-0.202578527894984,"primitive diverse, tra compiti"
"prl_a","ts_v_1",0.00187529301453352,"primitive diverse, tra compiti"
"prl_a","prl_t",-0.00993905297702766,"primitive diverse, entro compito"
"prl_a","ts_t_0",0.0691045475855602,"primitive diverse, tra compiti"
"prl_a","ts_t_1",0.281997187060478,"primitive diverse, tra compiti"
"prl_a","prl_alpha",-0.197585560243788,"primitive diverse, entro compito"
"prl_a","prl_pos_alpha",-0.310571964369433,"primitive diverse, entro compito"
"prl_a","wcst_logit_h",0.171167369901547,"primitive diverse, tra compiti"
"ts_a_0","ts_a_1",0.400586029067042,"stessa primitiva, entro compito"
"ts_a_0","prl_v",-0.0797233942803563,"primitive diverse, tra compiti"
"ts_a_0","ts_v_0",-0.0364510079699953,"primitive diverse, entro compito"
"ts_a_0","ts_v_1",-0.0300750117205813,"primitive diverse, entro compito"
"ts_a_0","prl_t",0.110103141115799,"primitive diverse, tra compiti"
"ts_a_0","ts_t_0",-0.18216127519925,"primitive diverse, entro compito"
"ts_a_0","ts_t_1",0.445452414439756,"primitive diverse, entro compito"
"ts_a_0","prl_alpha",0.0658227848101266,"primitive diverse, tra compiti"
"ts_a_0","prl_pos_alpha",-0.0693389592123769,"primitive diverse, tra compiti"
"ts_a_0","wcst_logit_h",0.0233942803563057,"primitive diverse, tra compiti"
"ts_a_1","prl_v",0.0303328645100797,"primitive diverse, tra compiti"
"ts_a_1","ts_v_0",-0.272456633849039,"primitive diverse, entro compito"
"ts_a_1","ts_v_1",0.303703703703704,"primitive diverse, entro compito"
"ts_a_1","prl_t",0.0880918893577121,"primitive diverse, tra compiti"
"ts_a_1","ts_t_0",0.0583919362400375,"primitive diverse, entro compito"
"ts_a_1","ts_t_1",0.407759024847632,"primitive diverse, entro compito"
"ts_a_1","prl_alpha",0.076558837318331,"primitive diverse, tra compiti"
"ts_a_1","prl_pos_alpha",-0.0294889826535396,"primitive diverse, tra compiti"
"ts_a_1","wcst_logit_h",-0.0110876699484294,"primitive diverse, tra compiti"
"prl_v","ts_v_0",-0.0527426160337553,"stessa primitiva, tra compiti"
"prl_v","ts_v_1",-0.138842006563526,"stessa primitiva, tra compiti"
"prl_v","prl_t",0.352062822315987,"primitive diverse, entro compito"
"prl_v","ts_t_0",-0.117744960150023,"primitive diverse, tra compiti"
"prl_v","ts_t_1",0.0360759493670886,"primitive diverse, tra compiti"
"prl_v","prl_alpha",-0.105133614627286,"primitive diverse, entro compito"
"prl_v","prl_pos_alpha",-0.161439287388654,"primitive diverse, entro compito"
"prl_v","wcst_logit_h",-0.224331926863572,"primitive diverse, tra compiti"
"ts_v_0","ts_v_1",0.430379746835443,"stessa primitiva, entro compito"
"ts_v_0","prl_t",-0.0992264416315049,"primitive diverse, tra compiti"
"ts_v_0","ts_t_0",0.0358180965775902,"primitive diverse, entro compito"
"ts_v_0","ts_t_1",-0.367323019221753,"primitive diverse, entro compito"
"ts_v_0","prl_alpha",0.31235349273324,"primitive diverse, tra compiti"
"ts_v_0","prl_pos_alpha",0.244889826535396,"primitive diverse, tra compiti"
"ts_v_0","wcst_logit_h",-0.358837318330989,"primitive diverse, tra compiti"
"ts_v_1","prl_t",-0.0651898734177215,"primitive diverse, tra compiti"
"ts_v_1","ts_t_0",0.10014064697609,"primitive diverse, entro compito"
"ts_v_1","ts_t_1",0.0276840131270511,"primitive diverse, entro compito"
"ts_v_1","prl_alpha",0.226043131739334,"primitive diverse, tra compiti"
"ts_v_1","prl_pos_alpha",0.232630098452883,"primitive diverse, tra compiti"
"ts_v_1","wcst_logit_h",-0.271003281762775,"primitive diverse, tra compiti"
"prl_t","ts_t_0",0.105157055789967,"stessa primitiva, tra compiti"
"prl_t","ts_t_1",0.282372245663385,"stessa primitiva, tra compiti"
"prl_t","prl_alpha",0.000140646976090014,"primitive diverse, entro compito"
"prl_t","prl_pos_alpha",0.172339428035631,"primitive diverse, entro compito"
"prl_t","wcst_logit_h",-0.0291842475386779,"primitive diverse, tra compiti"
"ts_t_0","ts_t_1",0.122948898265354,"stessa primitiva, entro compito"
"ts_t_0","prl_alpha",-0.0467182372245663,"primitive diverse, tra compiti"
"ts_t_0","prl_pos_alpha",-0.00443037974683544,"primitive diverse, tra compiti"
"ts_t_0","wcst_logit_h",0.00539146741678387,"primitive diverse, tra compiti"
"ts_t_1","prl_alpha",-0.050070323488045,"primitive diverse, tra compiti"
"ts_t_1","prl_pos_alpha",-0.066924519456165,"primitive diverse, tra compiti"
"ts_t_1","wcst_logit_h",0.0219409282700422,"primitive diverse, tra compiti"
"prl_alpha","prl_pos_alpha",0.539334270979841,"stessa primitiva, entro compito"
"prl_alpha","wcst_logit_h",-0.188185654008439,"primitive diverse, tra compiti"
"prl_pos_alpha","wcst_logit_h",-0.0805672761368964,"primitive diverse, tra compiti"
