"modello","model","elpd_diff","se_diff","p_worse","diag_diff","diag_elpd","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"senza tratto","senza tratto",0,0,NA,"","2 k_psis > 0.7",-1318.32762386114,41.0313643509219,51.786075609571,8.24463795373555,2636.65524772229,82.0627287018437
"completo","completo",-1.50518296575441,2.38234219250303,0.736243842325585,"N < 100","2 k_psis > 0.7",-1319.8328068269,41.8262043656827,54.7048074433017,8.9492705931779,2639.6656136538,83.6524087313654
"solo entro compito","solo entro compito",-10.6426807463893,5.88986780184371,0.964614752051032,"N < 100","2 k_psis > 0.7",-1328.97030460753,40.9329271621272,44.1234979383926,6.55831139281474,2657.94060921507,81.8658543242543
"senza metodo","senza metodo",-11.039189914251,6.04860869427869,0.966005460709224,"N < 100","2 k_psis > 0.7",-1329.36681377539,40.9212676961309,48.1946848864966,7.33441407574926,2658.73362755079,81.8425353922618
"indipendenza","indipendenza",-48.9133195240249,11.046720812002,0.999995241340651,"N < 100","1 k_psis > 0.7",-1367.24094338517,44.7014010881231,42.23197371209,7.10220085529022,2734.48188677034,89.4028021762463
