"indice","rho_h","h_q05","h_q95","rho_d","rho_kappa"
"accuratezza",-0.681986906072199,-0.772056039851441,-0.570997396070855,0.526467820710643,0.231579938993382
"errori perseverativi",0.460762978150051,0.360755542695341,0.555653823897576,-0.289391217491933,-0.117361698388357
"errori non perseverativi",0.584427016442186,0.470381166345738,0.680440878602631,-0.475361199011926,-0.20498234174391
"ripetizione dimensione",-0.593933530876829,-0.697533001054824,-0.478234830789267,0.462360800655977,0.286999664941973
"lose-shift",-0.379275168086998,-0.494789100717141,-0.253360895779498,0.29154388619223,0.025715214689533
"recupero post-switch",-0.333159960142652,-0.443211087668809,-0.213981570038515,0.287691513040892,0.0736921673539601
"err. persev. (pipeline)",0.455344692577134,0.354365589881026,0.552328219354201,-0.28422113514177,-0.116894288736932
"err. non persev. (pipeline)",0.581623566108001,0.468411100895501,0.67803734853962,-0.472045526259066,-0.205937809869713
"risp. persev. (pipeline)",-0.14310928304826,-0.257759365703581,-0.0257586308815854,0.0249612557322742,-0.0105449457869777
