"classe","n","media_abs","max_abs","media"
"stessa primitiva, entro compito",4,0.37331223628692,0.539334270979841,0.37331223628692
"primitive diverse, entro compito",21,0.193051369633648,0.477449601500234,-0.0117663474203559
"stessa primitiva, tra compiti",6,0.173249726519769,0.285185185185185,0.109388185654008
"primitive diverse, tra compiti",35,0.114068716094033,0.358837318330989,8.97461656955316e-05
