"parametro","primitiva","compito","tratto","tratto_lo","tratto_hi","metodo","entro_compito","unica"
"prl_a","soglia","PRL",0.17291085096176,0.00081293409925,0.93626818375,0.0245994359583465,0,0.802489712979844
"ts_a_0","soglia","task switching",0.295322151194648,0.0037269889325,0.8555067725,0.100602424690528,0.277679029083027,0.326396394936121
"ts_a_1","soglia","task switching",0.0889108551208742,0.00011899082825,0.41395154975,0.559178315260248,0.180305077053976,0.171605752654874
"prl_v","drift","PRL",0.0482992952810724,1.4717434325e-05,0.38763211775,0.109605836194558,0,0.842094868575728
"ts_v_0","drift","task switching",0.302618325622537,0.000981034354,0.88161751425,0.00408872913413282,0.440705677843271,0.252587267377846
"ts_v_1","drift","task switching",0.169978713937027,8.00770336e-05,0.67404863175,0.240296157805075,0.37608799146951,0.213637136746667
"prl_t","tempo non dec.","PRL",0.182167692324845,0.000771235434,0.7561822675,0.415808510337046,0,0.402023797318009
"ts_t_0","tempo non dec.","task switching",0.0578439862998324,6.79373724e-05,0.371878869,0.0257196534417714,0.167436337703972,0.749000022543719
"ts_t_1","tempo non dec.","task switching",0.210945346601532,0.001530740575,0.766216511,0.179293236251255,0.143289904371397,0.466471512832984
"prl_alpha","apprendimento/flessibilita'","PRL",0.148741186596522,5.21669396e-05,0.7314764345,0.0108946777483671,0.457792181046605,0.382571954719513
"prl_pos_alpha","apprendimento/flessibilita'","PRL",0.30354837874746,0.0024177573025,0.86505995325,0.0506875280766718,0.353982261289468,0.291781831945311
"wcst_logit_h","apprendimento/flessibilita'","WCST",0.179889067005568,0.000101908577,0.93479986225,0,0,0.82011093300423
