"parametro","campione","n_AN","n_HC","media_AN","media_HC","sd_AN","sd_HC","d","lo","hi","p_boot"
"prl_a","massimo",44,50,1.47431604365358,1.25059744888636,0.267224855559546,0.22553135840702,0.909794929442855,0.51314503323543,1.36985471142045,0
"prl_a","completo",35,45,1.46549675981332,1.25605613232484,0.279631676701985,0.221934058117958,0.84202228599352,0.413673841458932,1.33496077459867,0
"ts_a_0","massimo",46,50,2.23930115947353,2.17717006957911,0.487527409394383,0.378973825134569,0.143047311962606,-0.274616870802926,0.538015946046595,0.4876
"ts_a_0","completo",35,45,2.26445182709991,2.1855854633461,0.504054305388109,0.376594692896476,0.180574936813271,-0.286453480652814,0.622606969910792,0.4346
"ts_a_1","massimo",46,50,2.58213190129882,2.35992244491484,0.426373813961848,0.379744215858033,0.551742702212335,0.177751365443673,0.940734381389168,0.005
"ts_a_1","completo",35,45,2.58267317941676,2.35615779382899,0.464876372488054,0.370433712816421,0.546799579958662,0.123298475758998,0.966773571049169,0.0106
"prl_v","massimo",44,50,2.17497138720493,2.64777956862543,1.58794607378925,1.23370632200331,-0.335231526803166,-0.841557919614759,0.0827265989666842,0.1202
"prl_v","completo",35,45,2.33525803300364,2.74683820759832,1.71141669045544,1.25099505724233,-0.28007501058126,-0.84974664072071,0.171619397340825,0.2248
"ts_v_0","massimo",46,50,2.10687163585486,2.41611799821213,0.392515364289655,0.34427864242962,-0.839977919004736,-1.32209719156909,-0.433198712683048,2e-04
"ts_v_0","completo",35,45,2.14520207743685,2.44021847241292,0.394271477166688,0.307481766780125,-0.847785528746486,-1.35498925035019,-0.414694451171345,0
"ts_v_1","massimo",46,50,1.45301944636612,1.458920900759,0.334927058234422,0.303714409156855,-0.0184976606560046,-0.42761670642434,0.384947313378028,0.9206
"ts_v_1","completo",35,45,1.44093180210723,1.47644259122167,0.342190877945663,0.286531937576032,-0.113810572164607,-0.59662605512445,0.337987007565226,0.6226
"prl_t","massimo",44,50,0.212256765891641,0.197854322027109,0.107689278792787,0.0595024203860871,0.168498054827927,-0.275398520153553,0.529144400475189,0.4364
"prl_t","completo",35,45,0.22671987577743,0.198647268182102,0.115006173120544,0.0622212077014921,0.31486111844402,-0.150064308450592,0.727389475594474,0.1708
"ts_t_0","massimo",46,50,0.352594350089079,0.34008183660379,0.0632277367228948,0.0496786123333918,0.221181467090036,-0.186986829947579,0.663770633443908,0.275
"ts_t_0","completo",35,45,0.349682591236615,0.33919579883063,0.0648838379149863,0.0489852393119364,0.185710689220281,-0.270810369794771,0.678906301807926,0.4318
"ts_t_1","massimo",46,50,0.676760148878261,0.629862039378066,0.108032455097232,0.100321075825252,0.450579414631173,0.0621695421886427,0.867189280422116,0.0236
"ts_t_1","completo",35,45,0.676907595141219,0.627562907103896,0.104010112006502,0.103391404109043,0.476017264022196,0.0336072286908774,0.927338073864695,0.0352
"prl_alpha","massimo",44,50,1.03554892519296,3.50221269530353,3.81914296874736,3.08282299593551,-0.715678670351157,-1.15593475427234,-0.326690303937551,4e-04
"prl_alpha","completo",35,45,0.953057196956343,3.48219683185149,4.05159941192317,3.14420544502011,-0.708796000525952,-1.18267411475818,-0.280479827855948,0.0016
"prl_pos_alpha","massimo",44,50,-0.459031953561987,0.345532084228328,1.76850952225335,1.6341695099257,-0.473751710590754,-0.947427726355942,-0.0612790555372176,0.0252
"prl_pos_alpha","completo",35,45,-0.400637921644528,0.385481120074892,1.82322538295981,1.68531844705126,-0.450041314317927,-0.961111514874852,-0.00806070752218954,0.0444
"wcst_logit_h","massimo",39,45,-1.35061360162931,-1.73326866036506,0.497698618545159,0.330077525737787,0.919325492736792,0.503116644411729,1.41639416119985,0
"wcst_logit_h","completo",35,45,-1.31719978049609,-1.73326866036506,0.492217873449062,0.330077525737787,1.01793103838103,0.591678405328622,1.52762012723488,0
"wcst_log_d","massimo",39,45,1.61223698641541,1.67815800644065,0.0812185680506585,0.0584744869460072,-0.942534969109549,-1.44428063870889,-0.529455249517052,0
"wcst_log_d","completo",35,45,1.60482926208875,1.67815800644065,0.0780130964496833,0.0584744869460072,-1.08332953985477,-1.5920213833656,-0.652845899652207,0
"wcst_kappa","massimo",39,45,0.860860762533199,0.900143912680972,0.0627143278632376,0.047116467364186,-0.715559200716145,-1.17347458291752,-0.304337704995526,6e-04
"wcst_kappa","completo",35,45,0.857515582030361,0.900143912680972,0.0644263784084499,0.047116467364186,-0.770415036576535,-1.26800796712253,-0.326171840438351,0.001
