"insieme","n_par","auc_nidificata","sd","lo","hi","auc_non_nidificata","k_scelto","lambda_scelto","ottimismo"
"tutti e tre",14,0.842222222222222,0.0899844304689837,0.674206349206349,1,0.851904761904762,Inf,50,0.00968253968253974
"PRL + WCST",8,0.822539682539683,0.0939027760900278,0.65,0.984126984126984,0.838571428571429,5,0.252963340594654,0.016031746031746
"TS + WCST",9,0.8,0.0955049438844895,0.593253968253968,0.960714285714286,0.820793650793651,Inf,0.339319077525618,0.0207936507936508
"PRL + TS",11,0.773650793650794,0.119607363468427,0.530555555555556,0.968253968253968,0.781428571428571,Inf,0.252963340594654,0.00777777777777777
"PRL",5,0.752857142857143,0.118143754871299,0.523015873015873,0.953174603174603,0.756507936507936,5,0.0241352648762664,0.00365079365079357
"WCST",3,0.752857142857143,0.0988635732877002,0.555555555555556,0.904761904761905,0.768253968253968,3,50,0.0153968253968253
"task switching",6,0.690634920634921,0.114205853664473,0.467063492063492,0.898015873015873,0.716031746031746,3,3.55642615974698,0.0253968253968254
