"indice","osservato","predetto","q05","q95","dentro_90","r_individuale"
"acc",0.817992424242424,0.824527462121212,0.815890151515152,0.833153409090909,TRUE,0.934974684567153
"prop_pers_err",0.11780303030303,0.121315340909091,0.115530303030303,0.126893939393939,TRUE,0.822144112136192
"prop_non_pers_err",0.0642045454545455,0.0541571969696969,0.0482954545454545,0.0607954545454545,FALSE,0.755602152932105
"prop_rep_dim",0.865562403697997,0.863755778120185,0.853592064714946,0.87326656394453,TRUE,0.823389533489074
"win_stay",0.977933075450777,0.970339439884635,0.964493655115073,0.975664130425858,FALSE,0.710055703723324
"lose_shift",0.671090356070918,0.673883165533926,0.64430185588385,0.703743373575037,TRUE,0.567954356172085
"acc_pos1_3",0.546717171717172,0.568923611111111,0.551073232323232,0.587121212121212,FALSE,0.498152753491153
"acc_pos8_10",0.941287878787879,0.932121212121211,0.9197601010101,0.943876262626262,TRUE,0.879246041153727
