"confronto","differenza","lo","hi","quota_fold_positivi"
"tutti e tre - PRL",0.0893650793650794,-0.111904761904762,0.262301587301587,0.79
"tutti e tre - task switching",0.151587301587302,-0.111904761904762,0.35,0.91
"tutti e tre - WCST",0.0893650793650794,-0.103571428571429,0.262301587301587,0.77
"tutti e tre - PRL + TS",0.0685714285714286,-0.119444444444444,0.238888888888889,0.76
"tutti e tre - PRL + WCST",0.0196825396825397,-0.111111111111111,0.142857142857143,0.59
"tutti e tre - TS + WCST",0.0422222222222222,-0.0952380952380952,0.192063492063492,0.71
