"modello","convergenza","chisq","df","pvalue","cfi","tli","rmsea","rmsea.ci.lower","rmsea.ci.upper","srmr","aic","bic"
"per primitiva",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"per compito",TRUE,140.471144070833,43,2.84017254159608e-12,0.512500351328902,0.37645393774627,0.168328948503553,0.137805807929709,0.199728602308412,0.137417478038952,2417.79268172621,2472.57929432371
"fattore unico",TRUE,207.935281545119,54,0,0.333860806812275,0.185829874992781,0.188767494617937,0.162031002587097,0.216255278120218,0.1399463522994,2671.1358746474,2728.30451387957
